id,query,category,expected_has_answer,status,faithfulness,answer_relevancy,context_precision,data_sufficient,total_latency_ms
LBH_002,học phí ngành răng hàm mặt LBH,hoc_phi,True,ok,0.8149,0.8254,0.6938,False,18508.951
LBH_003,phương thức xét tuyển ngành dược LBH,phuong_thuc_to_hop,True,ok,0.8663,0.6956,0.7492,True,18370.191
LBH_004,điều kiện học bổng đầu vào của LBH,out_of_scope,False,ok,0.7527,0.7787,0.813,False,20186.288
MDA_001,chỉ tiêu tuyển sinh MDA năm 2025,phuong_thuc_to_hop,True,ok,0.8235,0.8152,0.7745,False,30281.953
MDA_002,học phí ngành công nghệ thông tin MDA,hoc_phi,True,ok,0.7932,0.8584,0.7833,True,19817.107
MDA_003,tổ hợp môn ngành kỹ thuật điện MDA,phuong_thuc_to_hop,True,ok,0.8209,0.8381,0.7322,True,20218.094
MDA_004,điểm chuẩn ngành điều dưỡng MDA,diem_chuan,True,ok,0.8258,0.7697,0.8134,True,17667.586
QHE_001,phương thức xét tuyển QHE năm 2025,phuong_thuc_to_hop,True,ok,0.8976,0.7662,0.7467,True,21455.721
QHE_002,học phí ngành trí tuệ nhân tạo QHE,hoc_phi,True,ok,0.7979,0.8021,0.705,False,20268.692
QHE_003,điểm chuẩn ngành khoa học dữ liệu QHE,diem_chuan,True,ok,0.8109,0.832,0.8144,False,34741.548
QHE_004,QHE có chương trình đào tạo chất lượng cao không,phuong_thuc_to_hop,True,ok,0.849,0.78,0.8104,False,19665.918
SKN_001,học phí ngành kinh tế SKN,hoc_phi,True,ok,0.8555,0.9161,0.6569,True,15704.046
SKN_002,tổ hợp môn xét tuyển ngành quản trị kinh doanh SKN,phuong_thuc_to_hop,True,ok,0.9476,0.7973,0.6545,True,29419.158
SKN_003,chỉ tiêu xét tuyển SKN,phuong_thuc_to_hop,True,ok,0.7843,0.8529,0.7798,True,38435.972
SKN_004,điểm chuẩn ngành marketing SKN,diem_chuan,True,ok,0.8895,0.8668,0.688,True,16297.653
YHB_001,điểm chuẩn ngành y đa khoa YHB,diem_chuan,True,ok,0.8513,0.7208,0.7033,True,16203.315
YHB_002,học phí ngành điều dưỡng YHB,hoc_phi,True,ok,0.874,0.7326,0.8785,True,14436.539
YHB_003,phương thức xét tuyển khối ngành sức khỏe YHB,phuong_thuc_to_hop,True,ok,0.8781,0.7495,0.7698,True,40228.021
YHB_004,điều kiện sơ tuyển và khám sức khỏe của YHB,phuong_thuc_to_hop,True,ok,0.8498,0.8001,0.7619,False,43480.818
GEN_001,so sánh học phí ngành công nghệ thông tin giữa IUH và DHT,so_sanh,True,ok,0.827,0.8162,0.8097,True,22831.737
GEN_002,trường nào có điểm chuẩn ngành logistics thấp hơn,so_sanh,True,ok,0.8572,0.8346,0.7988,True,25401.576
GEN_003,các trường nào xét tuyển bằng học bạ,phuong_thuc_to_hop,True,ok,0.8675,0.8482,0.6576,True,40776.937
GEN_004,mốc thờ i gian đăng ký nguyện vọng đại học năm 2025,out_of_scope,False,ok,0.749,0.8324,0.7931,True,32516.305
GEN_005,hồ sơ cần chuẩn bị để xét tuyển đại học,out_of_scope,False,ok,0.8019,0.7459,0.7489,True,33804.269
GEN_006,nếu điểm thi thấp hơn điểm chuẩn thì có cơ hội trúng tuyển không,out_of_scope,False,ok,0.8071,0.6825,0.704,True,32195.211
GEN_007,xét tuyển sớm là gì và khác gì xét tuyển đợt chính,out_of_scope,False,ok,0.7239,0.737,0.7019,True,38177.723
GEN_008,điểm ưu tiên khu vực được cộng như thế nào,out_of_scope,False,ok,0.8488,0.6542,0.6786,True,25804.283
GEN_009,quy định về điểm liệt trong xét tuyển đại học,out_of_scope,False,ok,0.8073,0.7934,0.7511,True,21901.279
GEN_010,học phí có tăng theo từng năm không,out_of_scope,False,ok,0.7403,0.7535,0.6722,True,24278.515
GEN_011,trường có hỗ trợ ký túc xá cho sinh viên năm nhất không,out_of_scope,False,ok,0.8324,0.7531,0.7011,True,15810.395
GEN_012,có học bổng đầu vào cho thí sinh điểm cao không,out_of_scope,False,ok,0.7876,0.6945,0.7311,True,37447.843
