id,query,category,expected_has_answer,status,faithfulness,answer_relevancy,context_precision,data_sufficient,total_latency_ms
HGH_004,HGH có ký túc xá cho tân sinh viên không,out_of_scope,False,ok,0.8118,0.7525,0.7597,False,24224.457
HHA_001,học phí các ngành HHA,hoc_phi,True,ok,0.9236,0.7736,0.8661,False,22303.969
HHA_002,phương thức xét tuyển học bạ HHA,phuong_thuc_to_hop,True,ok,0.8795,0.8103,0.7332,False,33418.196
HHA_003,tổ hợp môn xét tuyển ngành ngôn ngữ Trung HHA,phuong_thuc_to_hop,True,ok,0.8729,0.8135,0.834,False,53888.074
HHA_004,hạn nộp hồ sơ xét tuyển HHA là khi nào,phuong_thuc_to_hop,True,ok,0.8709,0.9201,0.8056,False,38132.575
LBH_001,điểm chuẩn ngành y khoa LBH,diem_chuan,True,ok,0.8591,0.879,0.8732,False,44513.562
LBH_002,học phí ngành răng hàm mặt LBH,hoc_phi,True,ok,0.9444,0.9018,0.8614,False,41540.032
LBH_003,phương thức xét tuyển ngành dược LBH,phuong_thuc_to_hop,True,ok,0.9285,0.7806,0.7816,True,28823.83
LBH_004,điều kiện học bổng đầu vào của LBH,out_of_scope,False,ok,0.7829,0.7805,0.6974,False,23260.075
MDA_001,chỉ tiêu tuyển sinh MDA năm 2025,phuong_thuc_to_hop,True,ok,0.8954,0.8289,0.7318,False,32073.525
MDA_002,học phí ngành công nghệ thông tin MDA,hoc_phi,True,ok,0.8494,0.8757,0.8903,True,22886.849
MDA_003,tổ hợp môn ngành kỹ thuật điện MDA,phuong_thuc_to_hop,True,ok,0.9499,0.9857,0.8449,True,31087.881
MDA_004,điểm chuẩn ngành điều dưỡng MDA,diem_chuan,True,ok,0.8604,0.7634,0.8761,False,21551.529
QHE_001,phương thức xét tuyển QHE năm 2025,phuong_thuc_to_hop,True,ok,0.8375,0.8192,0.7833,False,31239.72
QHE_002,học phí ngành trí tuệ nhân tạo QHE,hoc_phi,True,ok,0.8844,0.9133,0.8494,False,30041.963
QHE_003,điểm chuẩn ngành khoa học dữ liệu QHE,diem_chuan,True,ok,0.8937,0.8182,0.7595,False,32815.768
QHE_004,QHE có chương trình đào tạo chất lượng cao không,phuong_thuc_to_hop,True,ok,0.8505,0.8373,0.9261,False,25708.485
SKN_001,học phí ngành kinh tế SKN,hoc_phi,True,ok,0.8952,0.9091,0.81,False,26428.79
SKN_002,tổ hợp môn xét tuyển ngành quản trị kinh doanh SKN,phuong_thuc_to_hop,True,ok,0.8226,0.7917,0.7765,True,35781.021
SKN_003,chỉ tiêu xét tuyển SKN,phuong_thuc_to_hop,True,ok,0.9551,0.7989,0.8703,False,47224.467
SKN_004,điểm chuẩn ngành marketing SKN,diem_chuan,True,ok,0.8639,0.9166,0.8831,False,20082.889
YHB_001,điểm chuẩn ngành y đa khoa YHB,diem_chuan,True,ok,0.8937,0.868,0.8207,True,19663.817
YHB_002,học phí ngành điều dưỡng YHB,hoc_phi,True,ok,0.9078,0.8373,0.7665,True,20294.695
YHB_003,phương thức xét tuyển khối ngành sức khỏe YHB,phuong_thuc_to_hop,True,ok,0.8189,0.8486,0.9147,False,35749.617
YHB_004,điều kiện sơ tuyển và khám sức khỏe của YHB,phuong_thuc_to_hop,True,ok,0.8764,0.8341,0.8371,False,45598.099
GEN_001,so sánh học phí ngành công nghệ thông tin giữa IUH và DHT,so_sanh,True,ok,0.9322,0.871,0.8253,False,23828.137
GEN_002,trường nào có điểm chuẩn ngành logistics thấp hơn,so_sanh,True,ok,0.9243,0.8814,0.9421,True,25570.856
GEN_003,các trường nào xét tuyển bằng học bạ,phuong_thuc_to_hop,True,ok,0.8773,0.7788,0.7379,True,22408.646
GEN_004,mốc thờ i gian đăng ký nguyện vọng đại học năm 2025,out_of_scope,False,ok,0.886,0.8862,0.7692,True,28447.089
GEN_005,hồ sơ cần chuẩn bị để xét tuyển đại học,out_of_scope,False,ok,0.8047,0.8731,0.7136,True,44259.762
GEN_006,nếu điểm thi thấp hơn điểm chuẩn thì có cơ hội trúng tuyển không,out_of_scope,False,ok,0.7842,0.8322,0.7563,True,41115.714
GEN_007,xét tuyển sớm là gì và khác gì xét tuyển đợt chính,out_of_scope,False,ok,0.8198,0.7918,0.8003,True,28537.695
GEN_008,điểm ưu tiên khu vực được cộng như thế nào,out_of_scope,False,ok,0.8763,0.8045,0.8186,True,40095.848
GEN_009,quy định về điểm liệt trong xét tuyển đại học,out_of_scope,False,ok,0.738,0.7976,0.7294,True,25688.881
GEN_010,học phí có tăng theo từng năm không,out_of_scope,False,ok,0.7712,0.7561,0.76,True,24207.491
GEN_011,trường có hỗ trợ ký túc xá cho sinh viên năm nhất không,out_of_scope,False,ok,0.8566,0.7337,0.7818,True,29864.367
GEN_012,có học bổng đầu vào cho thí sinh điểm cao không,out_of_scope,False,ok,0.8006,0.7836,0.8402,False,29600.26
