id,query,error
IUH_007,mốc thờ i gian nộp hồ sơ xét tuyển IUH,search: HTTP 500; chat: HTTP 500
SKN_003,chỉ tiêu xét tuyển SKN,search: HTTP 500; chat: HTTP 500
SKN_004,điểm chuẩn ngành marketing SKN,search: HTTP 500; chat: HTTP 500
YHB_001,điểm chuẩn ngành y đa khoa YHB,search: HTTP 500; chat: HTTP 500
YHB_002,học phí ngành điều dưỡng YHB,search: HTTP 500; chat: HTTP 500
YHB_003,phương thức xét tuyển khối ngành sức khỏe YHB,search: HTTP 500; chat: HTTP 500
YHB_004,điều kiện sơ tuyển và khám sức khỏe của YHB,search: HTTP 500; chat: HTTP 500
GEN_001,so sánh học phí ngành công nghệ thông tin giữa IUH và DHT,search: HTTP 500; chat: HTTP 500
GEN_002,trường nào có điểm chuẩn ngành logistics thấp hơn,search: HTTP 500; chat: HTTP 500
GEN_003,các trường nào xét tuyển bằng học bạ,search: HTTP 500; chat: HTTP 500
GEN_004,mốc thờ i gian đăng ký nguyện vọng đại học năm 2025,search: HTTP 500; chat: HTTP 500
GEN_005,hồ sơ cần chuẩn bị để xét tuyển đại học,search: HTTP 500; chat: HTTP 500
GEN_006,nếu điểm thi thấp hơn điểm chuẩn thì có cơ hội trúng tuyển không,search: HTTP 500; chat: HTTP 500
GEN_007,xét tuyển sớm là gì và khác gì xét tuyển đợt chính,search: HTTP 500; chat: HTTP 500
GEN_008,điểm ưu tiên khu vực được cộng như thế nào,search: HTTP 500; chat: HTTP 500
GEN_009,quy định về điểm liệt trong xét tuyển đại học,search: HTTP 500; chat: HTTP 500
GEN_010,học phí có tăng theo từng năm không,search: HTTP 500; chat: HTTP 500
GEN_011,trường có hỗ trợ ký túc xá cho sinh viên năm nhất không,search: HTTP 500; chat: HTTP 500
GEN_012,có học bổng đầu vào cho thí sinh điểm cao không,search: HTTP 500; chat: HTTP 500
